title,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,word_five,word_four,word_three,word_two,word_one
海世界複合式碳烤 宜蘭吃到飽 海鮮牡蠣蝦子任你吃,2,10,2,0,0,0,4,10,3,0
【台北】採用黑金色系、低調奢華佈置風格的TUTTO Fresco 翡冷翠義式餐廳(台北車站店),1,7,46,22,0,2,4,22,17,4
【桃園中壢】MOFA魔法氛子☞平均不到百元的平價甜點在中原!超美星空鏡面蛋糕讓你吃掉全宇宙/中原夜市.中原大學甜點,0,1,2,19,0,0,1,4,3,0
"*台北公館美食餐廳推薦*瑪德蓮書店咖啡cafe madeleine~法式浪漫氣氛,優雅早午餐,下午茶(有菜單)",0,0,0,11,0,0,1,6,7,0
[ 台中麗寶餐廳 ] 在麗寶outlet mall 要吃什麼呢？餐廳店名，價位，菜單~,2,23,25,1,0,0,6,1,1,0
「好好鍋優質大盤肉-美術店」好美好美的肉 ♡,1,1,24,30,7,0,1,8,8,5
✿高雄✿ 天母早午餐南下展店 網美必拍！質感的老屋環境讓人太喜愛 除了全日早午餐外 樓上還有隱藏版小酒吧噢 ➜ Humble beginnings cafe-Kaohsiung亨寶咖啡,0,1,2,4,0,0,0,4,3,0
【中壢】非常道地又美味的南部粽＆好有料的好吃碗粿 「集善粽子」,3,11,57,44,22,0,5,16,9,1
[懶人包] 台南火車站/台南車站附近美食餐廳總整理~台南東區、中西區聚餐推薦！步行可到！(2018/5/29更新),19,25,2,0,0,0,67,0,8,0
[瑞芳│小吃特輯] 瑞芳必吃美食推薦，不踩雷小吃 TOP 9,9,12,74,58,9,2,14,48,15,4
[台北松山]O.L.O CAFÉ(台北東旅飯店1樓)|舒食．咖啡．下午茶|質感工業風咖啡廳，不限時免服務費，提供免費wifi和插座(近捷運南京三民站),2,6,61,59,15,0,7,20,12,3
「新北板橋吃喝」東北有三寶 ～激推水餃＆牛肉麵＠大東北牛肉麵水餃,2,3,4,1,0,0,2,4,1,0
【美食】台中西屯。茶六燒肉堂(朝富店) - 輕井澤旗下人氣燒肉，相見恨晚,4,14,4,22,0,0,5,4,4,0
"【九犇日式燒肉】根本就是《彰化版屋馬》啊! 但是價錢更便宜,平日中午還有超優惠的$599雙人套餐 巧克力和牛超好吃,一定要加點!",2,26,27,2,0,0,5,11,10,0
●嘉義食記●好客燒烤/嘉義秀泰店/吃到飽推薦/超高cp值/嘉義燒肉/聚餐飽足好去處,0,2,1,24,0,0,0,6,7,0
【食．花蓮 - 花蓮市】炸蛋蔥油餅 黃車VS藍車極邪惡小吃大對決,4,17,65,34,1,3,9,19,6,0
台南美食-饗麻饗辣(永華旗艦店) 安格斯牛.關山香草豬 頂級饗宴精品火鍋吃到飽,2,36,5,1,0,0,8,10,4,0
【台中大甲美食】2018大甲媽祖遶境之大甲鎮瀾宮必吃美食懶人包攻略|大甲蔣公路觀光夜市、食尚玩家推薦、大甲宵夜、大甲早餐、大甲粉腸,0,15,1,0,0,0,0,18,8,0
北桃園第一間【友善小農合作商店】小農飲品就在「大業蔬菜1店旁｣,1,6,41,27,13,0,2,7,5,1
台北東區燒烤吃到飽→燒肉殿~頂級現切牛肉MIX超澎湃的海鮮大餐，啤酒無限暢飲！,4,16,84,59,32,2,13,32,24,19
（台南永康）前味火烤吃到飽 - 火烤兩吃299+10%吃爽爽!!!,0,5,61,48,15,1,11,38,11,3
[火鍋] 台北‧信義‧海底撈火鍋台灣一號店‧ATT 4 FUN‧捷運世貿101站‧,1,3,0,3,14,3,4,1,1,0
【新北三重】新開幕樂福親子餐廳精緻創意料理~全台唯一室內摩天輪！還有摩天輪兒童套餐~決明子沙坑/廚具/扮家家酒~LOVE/蘆洲家樂福/捷運徐匯中學站附近/素食套餐/包場生日派對,6,20,118,71,16,6,28,58,40,9
【高雄美食】I'm Kimchi。超長75雞SET 辣炒雞排、義大利麵、原味炸雞、海苔拌飯、脆薯 一次吃的到。高雄韓式料理。左營美食,0,2,0,17,0,0,0,4,1,0
【高雄鼓山】林皇宮LV森林百匯 - 氣派皇宮大啖波士頓龍蝦/天使紅蝦吃到飽,0,0,2,20,0,0,3,4,9,0
20180608@台北名流水岸涮涮鍋 高檔頂級鍋物推荐,2,11,10,0,0,0,2,3,4,0
〈食記〉→起家雞Cheogajip│超人氣韓式炸雞專賣店│韓國道地老字號│捷運國父紀念館美食│排隊人潮爆滿│東區韓式料理餐廳〈大安區〉,2,14,81,40,20,1,3,14,7,2
【肉多多火鍋-肉品專賣店】比臉大的肉盤，湯頭也很棒(近捷運台北小巨蛋站),1,9,11,0,0,3,6,21,11,4
【台北】內湖早午餐咖啡廳 / THE ANTIPODEAN / 隱藏住宅區澳洲風格 / 捷運港墘站美食,3,8,68,48,11,3,8,30,13,2
湯蒸火鍋-羅東林場鐵道店▋新鮮肉品與海鮮，在地蔬食好滋味，平實的價格與舒適的環境，好停車最方便,0,2,43,19,1,0,1,4,1,0
《高雄三民》黑沃咖啡-平價咖啡創造不凡質感,0,3,29,5,0,0,2,3,1,0
[桃園區．食]星上星港式飲茶(桃園總店)∥品項豐富令人眼花瞭亂，好想全部點一輪啊！,0,4,30,5,1,0,5,3,0,0
台北美食【三上咖哩】挑戰巨無霸咖哩成功免費吃！台北東區咖哩。日式餐廳。咖哩飯。炸雞。捷運忠孝復興美食,1,18,114,20,2,1,15,17,1,0
新北泰山餐廳~港龘港式/歐式百匯餐廳 泰山店 港點吃到飽,0,8,45,5,0,0,6,8,0,0
【台中 西屯】逢甲美食，韓國正統年糕鍋『三清洞摩西年糕鍋』(含菜單,0,9,31,8,1,0,2,7,1,0
【桃園新屋食記】擁有峇里島風情的莫內咖啡,0,13,46,27,2,0,5,14,2,0
潔西麻的美食日記─【台北/中正區】觀光客來台必吃的傳統古早味早餐-->阜杭豆漿,1,6,27,19,2,0,5,11,2,0
【高雄】溫馨老字號～寬來順早餐店,0,7,49,19,2,0,5,13,1,0
♥台北♥ 中和丼飯【悅勝.丼飯.生魚片.壽司專賣店】，新鮮美味的日本料理！內用還有料多味美的味噌湯免費品嚐！,1,23,63,16,1,2,18,10,2,0
{食記}{台南}{麻豆}八方雲集鍋貼水餃專賣店,0,4,30,19,0,0,1,9,2,0
《台中南屯》韓系設計風格秘境咖啡館─脈博咖啡MAPPER CAFE,1,25,71,18,3,1,8,20,6,1
[美姬食記] 台北老店 內湖重現北平好滋味 都一處 內湖店＠台北市 ＠內湖區 ＠內湖科學園區 ＠港墘站,0,6,28,18,3,0,3,8,3,1
[台中燒烤店] 好客-無煙海鮮炭火燒肉 /燒烤吃到飽 /台中西屯區老虎城,0,4,54,17,0,0,5,10,3,0
